Product Name,Amazon ASIN,Amazon Offer ID,Tradepost Asset Config ID,Notes
Obisdian Flames Booster Bundle,B0C6D3V3B5,Ls9Sl5k5a1yiGHSwMj3QBYkn0PbXiNzdGzcTFd5QGjPgIk0j%2Fu2etrMvC1WPlYAlZqSyi5JOpSmRYGhdTpf74W3jsfanpd%2F5DvgQm%2FXDCmy5EaYRvvfhifD%2B24QyOAIVfy22SoDTlSZJSF0trtbeaA%3D%3D,,
Paldean Fates Elite Trainer Box,B0CNFSY3Y3,UiHlJMpyHUUjE0J7u5re9S5gxjFLcrIL5z%2FM4WWCNvVRQNTNr2g57hwlGd45uT0bcDiL7aJO%2B1jkd%2F%2Beu5AOhHYakDAEgRWBNZXmlClDDn28hSHJMqWzjc3k1haQKdeXzLKD0QBHQc7vysc2Ft5UmQ%3D%3D,,
Temporal Forces Elite Trainer Box,B0CS6JYNSG,lTU4y7Qivz69ryMC1HSY6andKqlApF7NrOv8tlSHfHRDUapHuf59TaUjaS%2FTyE5OoKF%2B6ZSr9DU21M0XaDiUTcCxdVdopM3TPQwYhKFysadMzF8Di83DNKgJQzwUoSbirs11fy2GKS1CHgAowlGF%2FQ%3D%3D,,
Mega Evolution Booster Bundle,B0FH5N9RH4,TKnxvPrNeHuxSjzO%2BSNOFlu8IW36ALuItaHoq1tzd8bZhcnSh2hggFATwpXf%2B2v6Fj1DxwwZO%2FyTHUJDTQplvexgbKxZIgAjKFNVnuh8al4y%2FuwTjuCw1sfrxWmL5wfQVPMnNgg3104Y%2FnkbJg3VxA%3D%3D,,
First Partner Illustration Series,B0GG2BM9YQ,vQ16gpESRofUhjGzE3bqmMe8RwPz3KJ8eQrPoVtxdPg6%2BwuCKzu%2FipTeezkW3hDzjBDV%2FqTsTPCoQsYxAgAo035q7I3ffnR9dzBUSBWcSp1bFEerDPim3shIzaLHRzlIuddcHYwYl6gmIYt4r%2FOk6g%3D%3D,,
Pokemon TCG Scarlet & Violet 10.5 Unova Victini Illustration Collection,B0F6PV45YM,7Y%2FoOJG99GzGugLNDPIuHTPMD3jgqfskTBuxhKkog0tU4F0bpNa2LdR2W3FuVIp946XddcFn5BLgNVy6Mxl%2F1pKRCDRZjPHa3fa7safqcNk7Rg%2BVecR9db9Wvgf%2FhLaTJgTxj21fgJp428ol3LTL1A%3D%3D,,
Pokémon TCG: Mega Evolution—Ascended Heroes Mega Meganium/Emboar/Feraligatr ex Box,B0G78HDPPR,712IIaCEeUQYs9AvGVdD983zRvnCpgfi3qvD8UkLyxFQqUmNO9OXL4b90Zg9G5zKwIexi0gzcOa5JWfa%2FBhzj1O8W%2FTDzH0H8wYszhbRuxr5lXBPRx1sUtMeVAOSQ2VZekbw6EsFdNfykTKOXUHklg%3D%3D,,
Ascended Heroes Premium Poster Collection,B0G4XJPN8Q,C%2FH%2F3LkvLZ0d2t4FHY1hp4rJkyOqDq%2Bm2SLwALmVtSVYu2UCJ6gxGNUvAKX9HSur7Msy7akj1jhOlCjTjaue8g%2FVYz2IUpIbA2cKgW6ROOu3ODQQxcjh9MMKr3wsNp78A5fVJPBnHTRwoQMRQBuSDg%3D%3D,,
Prismatic Evolutions Poster Collection,B0DLQJ613B,%2FQFmDfUlK7VuFs93MfRmGAF8qqoj6fdZ8%2BC8Lb9QwYRUDdyYji3kJRMQM7mN%2F9awmWdiFo51UJUdKFhPF0ub0%2BILhBnnxLnvQFqlYyzHtoBZxbEXsp%2FtGi34F7sAvgPr86GkzNDukmenmEFMck6E7w%3D%3D,,
Prismatic Evolutions Booster Bundle,B0DN98RVZM,chJj%2FNpaJ%2BvWm42S4qZHOjy8XszHanJ1NJGu%2BuRMzurguq1kZzHaCHvV0K1tzfL5ALNCsMW8oz1Qh0LlZzNIQGmYztQnXbIZIA5OxsIuGz172M6wwu3pF3%2F0dsdAYFt2JzsFG3PZ528m5QOWyk4gaOJaORA182II,,
Prismatic Evolutions Elite Trainer Box,B0DLPL7LC5,TRjWBbjKBXOcSEjUzWxk0ePNC7u5RSXwSyrKmP1HD0Y3mVmcmiI51lIh62UHlLIWljNcK0xOK68CMSPX3qkK1wdEkHHgNpmGntYBr9%2FKpPL6Xw1quQDebl9KzD85hzEulPyu0AGTy39w06ufcmtE4A%3D%3D,,
2025 Topps Chrome Disney - Factory Sealed - Mega Box,B0FF5Y22Q9,pfqcVQIKAqyFmeG%2B%2F7bYC12MT%2FQESjYG13ZLgw8DLAUujQV3FGvZf9c3XDFF37RqGpfNaSf8M44LU8RVfyxNwKo7U%2Bz7kSNJpTr2pfbhEh6IUvv%2Bgms%2BHMDoJ3r46AzyuXCA4YMQ7WlOO0DAFbUkWeibeFtw9esBAT%2BhxkOsVgEBaiFoDmYU9vpDN9SCaMzV,,
